% 1. Title: League of Legends 5vs5 Solo queue Database
%
% 2. Sources:
%	(a) Creator: Oihan Irastorza (Botxan)
%	(b) Date: 12 January, 2024
%	(c) Source of data: Riot API (https://developer.riotgames.com/). Used endpoints: 
%           1. Players per queue, league and rank: /lol/league/v4/entries/{queue}/{tier}/{division}.
%               - Useful returned data: tier, rank, wins, losses, summonerId.
%           2. Get Player Universally Unique IDentifiers (PUUID): /lol/summoner/v4/summoners/by-puuid/{encryptedPUUID}.
%               - Useful returned data: puuid.
%           3. Players last match identifiers: /lol/match/v5/matches/by-puuid/{puuid}/ids.
%               - Useful returned data: list of match ids (e.g. ["EUW1_1234567890", "EUW_0987654321"]).
%           4. Game and player stats: /lol/match/v5/matches/{matchId}.
%               - Useful returned data: rest of attributes.
%       (d) Repository with automated scripts for data gathering and dataset examples: https://github.com/Botxan/LoL-dataset-generator
%
%
% 3. Relevant Information:
%    --- This database stores a set of statistics on the performance of players
%        in different 5vs5 solo queue ranked games. Challenger, Grandmaster and
%        Master tiers have been excluded because they are treated from
%        different enpoints and do not follow the same structure of ranks and 
%        divisions as the other leagues.
%
%    --- Predicted attribute: player tier and rank (I = highest, Diamond I, 
%         28 = lowest, Iron IV). 
%
% 4. Number of instances: 42000 (1500 per tier and rank combination)
%
% 5. Number of Attributes: 16 numeric, predictive attributes and the class
%
% 6. Attribute Information:
%    # Player-related attributes
%    1. tier_rank: number representing the player's tier and rank. 1 = Diamond I, 2 = Diamond II, ..., 28 = Iron IV.
%    2. kills: total number of kills made by the player.
%    3. deaths: total number of times the player has died during the game.
%    4. assists: total number of times the player has assisted in a loss in favor of his team.
%    5. killingsprees: number of times the player has achieved a killing streak (3 kills or more before dying).
%    6. champExperience: experience points that the player has with the champion he has played.
%    7. totalDamageDealth: total damage inflicted by the player.
%    8. totalDamageTaken: total damage taken by the player.
%    9. totalMinionsKilled: number of minions killed by the player.
%    10. turretTakedown: number of towers destroyed by the player.
%    11. visionScore: vision score (1 point per minute of ward lifetime provided + 1 point per minute of ward lifetime denied) obtained by the player.
%
%    # Team-related attributes
%    12. dragonTakedowns: number of dragons killed by the team.
%    13. riftHeraldTakedowns: number of rift heralds killed by the team.
%    14. baronTakedowns: number of barons killed by the team.
%    15. towerTakedowns: number of towers destroyed by the team.
%
%    # Game-related attributes
%    16. gameDuration: game duration in seconds.
%
% 8. Missing Attribute Values: None
%
% 9. Class Distribution: 1500 for each of 28 classes.

@relation LoLSoloQ5v5

@attribute tier_rank numeric
@attribute kills numeric
@attribute deaths numeric
@attribute assists numeric
@attribute killingsprees numeric
@attribute champExperience numeric
@attribute totalDamageDealth numeric
@attribute totalDamageTaken numeric
@attribute totalMinionsKilled numeric
@attribute turretTakedown numeric
@attribute visionScore numeric
@attribute dragonTakedowns numeric
@attribute riftHeraldTakedowns numeric
@attribute baronTakedowns numeric
@attribute towerTakedowns numeric
@attribute gameDuration numeric

@data
1,3,8,26,0,12103,20411,24036,21,4,65,2,1,0,8,1645
1,1,7,12,0,6606,18758,17093,15,2,66,3,0,0,4,1527
1,0,3,15,0,8826,31649,10399,13,6,71,3,1,1,10,1460
1,2,5,31,0,11436,19386,27011,14,4,94,3,0,0,9,1848
1,4,4,27,1,15411,38286,22496,31,5,116,4,0,1,10,2103
1,0,6,19,0,11112,21060,19762,20,5,65,3,0,2,10,1721
1,3,6,28,0,10916,22040,23008,15,6,95,2,0,1,8,1846
1,4,10,11,0,7651,17474,18630,17,0,61,1,1,0,2,1558
1,4,4,19,1,13228,31651,21059,26,3,88,4,1,0,10,2047
1,3,7,2,0,6722,68421,16107,130,0,19,1,0,0,1,1127
1,5,8,4,2,10498,116512,19279,184,0,18,0,0,0,3,1659
1,8,3,5,2,12235,157652,15640,226,1,56,1,1,0,4,1822
1,1,7,2,0,10103,108916,19659,211,2,25,2,1,0,2,1554
1,7,3,6,2,11471,127746,13597,174,6,22,2,1,1,11,1400
1,11,5,13,3,17843,238305,25739,268,1,43,4,1,1,9,2013
1,12,8,10,4,12738,137075,23726,199,4,25,3,0,0,8,1714
1,11,7,5,3,15876,234058,22211,279,5,22,1,0,0,6,1799
1,9,4,8,3,11628,158774,16746,199,5,25,0,0,1,9,1543
1,16,2,7,3,10755,140803,14383,160,8,23,2,1,1,10,1262
1,3,13,4,0,6406,48029,14932,91,0,13,0,0,0,0,1126
1,6,3,7,1,11094,141139,9933,181,8,15,2,1,1,11,1430
1,5,6,10,1,18716,271930,30405,274,7,43,5,1,1,10,2301
1,4,7,1,1,4548,41050,8493,89,0,9,0,0,0,0,933
1,3,4,9,1,12990,104975,8781,165,4,10,0,1,1,9,1560
1,12,6,10,3,16551,233883,28186,239,4,27,3,1,1,8,1940
1,8,2,8,2,11050,115426,9171,203,2,26,3,0,0,9,1426
1,2,8,6,0,13074,155069,25941,212,0,20,1,1,0,5,1858
1,7,9,12,2,18193,250277,37241,260,6,39,4,0,2,10,2359
1,4,9,7,1,14740,217401,25452,234,1,12,2,0,1,3,2071
1,11,7,17,2,16114,217759,36087,32,4,37,3,1,2,11,1922
1,12,4,4,2,14482,268898,22064,41,5,22,2,1,1,8,1564
1,5,12,4,1,11719,189575,30366,20,1,39,2,0,1,6,1811
1,4,10,13,0,12524,175188,32018,49,3,13,3,0,1,6,1793
1,12,6,10,4,15119,248617,29224,33,3,35,1,1,1,11,1896
1,6,8,18,2,16811,272515,42859,48,4,28,2,0,1,7,2044
1,5,12,6,1,12394,197155,40592,41,2,24,1,0,0,5,1894
1,21,10,25,4,19677,222532,43387,17,1,25,2,1,2,9,2022
1,8,8,16,2,15668,224745,35099,34,3,25,2,1,1,8,1898
1,14,4,7,3,14742,248000,28954,14,4,15,1,1,0,11,1532
1,2,9,8,0,8613,19213,25874,27,2,86,2,1,1,6,1864
